Repo Name,Repo ID,Type,Action,User Type,Merged,State,Changed Files,Deletions,Additions,Review Comments,Author Association,Star Score,Follower Score,Community Score
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,0,1,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,4,4,9657,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,4,4,9657,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,2,2,2,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,5,43,212,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,168,2815,5478,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,168,2815,5478,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,5,2,241,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,106,6809,58,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,106,6809,58,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,97,496,385,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,200,7275,413,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,200,7275,413,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,21,940,361,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,16,119,110,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,16,119,110,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,1,1,1,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,1,1,1,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,2,21,21,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,2,21,21,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,1,1,5,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,1,1,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,2,0,9800,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,24,28,710,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,24,28,710,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,12,76,146,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,12,76,146,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,41,793,292,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,41,793,292,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,1,1,1,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,1,1,1,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,21,225,571,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,5,6,14,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,5,6,14,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,9,22,202,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,2,1,15,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,2,1,15,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,2,9,14,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,2,9,14,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,1,2,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,1,2,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,7,16,30,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,7,16,30,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,41,300,494,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,41,300,494,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,2,4,0,COLLABORATOR,10051,74,6
